,founder,wasFaang
0,ADHEMAR MILANI NETO,0
1,AJ Asver,1
2,AJ Forsythe,0
3,AMIETH KUMAR,0
4,ASHUTOSH SINGLA,0
5,Aadit Palicha,0
6,Aahel Iyer,0
7,Aakash N S,0
8,Aakash Prasad,0
9,Aakash Shah,0
10,Aakhil Fardeen,1
11,Aamir Hudda,0
12,Aamir Poonawalla,0
13,Aamna Khan,0
14,Aanand Srinivas,0
15,Aankit Roy,0
16,Aarjav Trivedi,0
17,Aaron Cannon,0
18,Aaron Chou,1
19,Aaron Cooper,0
20,Aaron Diamond-Reivich,0
21,Aaron Evans,0
22,Aaron Farr,0
23,Aaron Feuer,0
24,Aaron Frank,0
25,Aaron Glazer,0
26,Aaron Guo,0
27,Aaron Hannon,0
28,Aaron Harris,0
29,Aaron Kahane,0
30,Aaron Kaufman,0
31,Aaron King,0
32,Aaron Krane,0
33,Aaron Lee,1
34,Aaron Letzeiser,0
35,Aaron Mandell,0
36,Aaron Morris,0
37,Aaron Muszalski,0
38,Aaron Neiderhiser,0
39,Aaron Ng,1
40,Aaron Paul,0
41,Aaron Slodov,1
42,Aaron Swartz,0
43,Aaron Villalpando Gonzalez,0
44,Aaron Wang,0
45,Aaron Wenger,0
46,Aarti Kochhar Kaji,0
47,Aayush Goel,0
48,Aayush Mattoo,0
49,Aayush Rai,0
50,Aayush Shah,0
51,Abasi Ene-Obong,0
52,Abbas Jaffery,0
53,Abbas Mehdi,0
54,Abdallah Nofal,0
55,Abdallah Shaban,0
56,Abdellah Lamrani Alaoui,0
57,Abdelrahman Hosny,0
58,Abdul Basharat,0
59,Abdul Jamjoom,0
60,Abdulhamid Haidar,0
61,Abdulhamid Hassan,0
62,Abdullah Al Zandani,0
63,Abdullah Alkharashi,0
64,Abdulrahman Bin Omar,0
65,Abe Fetterman,0
66,Abe Han,0
67,Abe Wheeler,1
68,Abeer Agrawal,1
69,Abel Mengistu,1
70,Abel Riboulot,0
71,Abhay Agarwal,0
72,Abhi Arora,0
73,Abhi CVK,0
74,Abhi Patel,0
75,Abhi Rajendran,0
76,Abhi Sivaprasad,0
77,Abhik Pramanik,0
78,Abhilash Thulaseedharan,0
79,Abhinai Srivastava,1
80,Abhinandan Panigrahi,0
81,Abhinav Ayalur,0
82,Abhinav Chugh,0
83,Abhinav Das,0
84,Abhinav Gopal,0
85,Abhinav Reddy,0
86,Abhinav Sharma,1
87,Abhinay Peddisetty,0
88,Abhishek Anand,0
89,Abhishek Ayyagari,0
90,Abhishek Bhayana,0
91,Abhishek Choudhary,0
92,Abhishek Gupta,0
93,Abhishek Mahajan,0
94,Abhishek Nayak,0
95,Abhishek Ray,0
96,Abigail Kirigin,0
97,Aboud Jardaneh,0
98,Achille AROUKO,0
99,Achyuta Iyengar,0
100,Adam Alpert,0
101,Adam Barth,0
102,Adam Breckler,0
103,Adam Bulow,0
104,Adam Carrigan,0
105,Adam Christ,0
106,Adam Dorfman,0
107,Adam Ginzberg,0
108,Adam Goldstein,0
109,Adam Gothelf,0
110,Adam Green,0
111,Adam Hearne,0
112,Adam Helybely,0
113,Adam Hooper,0
114,Adam Hueniken,0
115,Adam Ingwersen,0
116,Adam Kang,0
117,Adam Keating,0
118,Adam Kircher,0
119,Adam Kocoloski,0
120,Adam Lynch,0
121,Adam MacEachern,0
122,Adam McAskill,0
123,Adam McKenzie,0
124,Adam McQuilkin,0
125,Adam Michalski,0
126,Adam Moelis,0
127,Adam Montgomery,0
128,Adam Paul Arkin,0
129,Adam Pollack,0
130,Adam Proschek,0
131,Adam Reis,0
132,Adam Sandler,0
133,Adam Saunders,0
134,Adam Sharf,0
135,Adam Shaw,0
136,Adam Shiervani,0
137,Adam Shugar,1
138,Adam Siegel,0
139,Adam Skrocki,0
140,Adam Smith,0
141,Adam Stansell,0
142,Adam Steinberg,0
143,Adam Sturrock,0
144,Adam Tilton,0
145,Adam Turner,0
146,Adam Watkins,0
147,Adam Wiggins,0
148,Adam Williams,0
149,Adam Wu,0
150,Adam Yaari,0
151,Adar Arnon,0
152,Adar Hay,0
153,Addwiteey Chrungoo,0
154,Adedapo Sobayo,0
155,Adeel Raza,0
156,Adeel Yang,0
157,Adegoke Olubusi,0
158,Adela Chang,0
159,Adeleke  Adekoya,0
160,Adena Bauer,1
161,Adham Nauman,0
162,Adi Agashe,0
163,Adi Oltean,0
164,Adil Aftab Iqbal,0
165,Adil Bouhdadi,0
166,Adil Majid,0
167,Adina Mangubat,0
168,Adit Abraham,0
169,Adit Jain,0
170,Adithya Kavuluru,0
171,Aditya (JP) Jayaprakash,0
172,Aditya Acharya,0
173,Aditya Agarwalla,0
174,Aditya Agrawal,0
175,Aditya Bali,1
176,Aditya Chintapalli,0
177,Aditya Ganapathi,0
178,Aditya Haripurkar,0
179,Aditya Joshi,0
180,Aditya Kaicker,0
181,Aditya Kaji,0
182,Aditya Kandoi,0
183,Aditya Ketkar,1
184,Aditya Makkar,0
185,Aditya Maru,0
186,Aditya Mehta,0
187,Aditya Nadkarni,0
188,Aditya Padwal,0
189,Aditya Prasad,0
190,Aditya Rajagopal,0
191,Aditya Sharma,0
192,Aditya Vemuganti,0
193,Aditya Viswanathan,0
194,Adnan Sherif,0
195,Adria Ferrier,0
196,Adrian Cuadros,0
197,Adrian Johnston,0
198,Adrian Mayans,0
199,Adrian Parlow,0
200,Adrian Pironescu,0
201,Adrian Ramirez,0
202,Adriano Quiroga,0
203,Adrien Châtillon,0
204,Adrien Wald,0
205,Advait Ruia,0
206,Advith Chelikani,0
207,Agam Jain,0
208,Agnes Lie,0
209,Agree Ahmed,0
210,Agustin Iglesias,0
211,Agustin Novillo Saravia,0
212,Agustin Trombotto,0
213,Agustín Feuerhake,0
214,Ahana Banerjee,0
215,Ahmad  Faraaz,0
216,Ahmad Hammouda,0
217,Ahmad Roumie,0
218,Ahmad Sadeddin,0
219,Ahmed AJ,0
220,Ahmed Ashour,0
221,Ahmed Beshry,0
222,Ahmed ElKawass,0
223,Ahmed Elsamadisi,0
224,Ahmed Gaber,0
225,Ahmed Galal,0
226,Ahmed Ismail,0
227,Ahmed Kerwan,0
228,Ahmed Nasser,0
229,Ahmed Omar,0
230,Ahmed Soliman,0
231,Aidan Cunniffe,0
232,Aidan Lee,0
233,Aidan Porter,0
234,Aiden Bai,0
235,Aimee DeGolyer,0
236,Ain McKendrick,1
237,Aizat Rahim,0
238,Ajay Koritala,0
