,slug,year_founded,yc_batch,age,flag
0,1910-genetics,2018,2019,1,
1,222,2021,2023,2,
2,54gene,2019,2019,0,
3,alt-tex,2020,2022,2,
4,aon3d,2015,2017,2,
5,abatable,2021,2021,0,
6,abstra,2020,2021,1,
7,accord,2013,2020,7,
8,adra,2021,2021,0,
9,advantage-club,2014,2021,7,
10,adventris-pharmaceuticals,2022,2023,1,
11,adventurous-co,2018,2019,1,
12,aesculatech,2016,2018,2,
13,aether-energy,2023,2024,1,
14,afriex,2019,2020,1,
15,afrostream,2014,2015,1,
16,agave,2018,2022,4,
17,agendapro,2014,2021,7,
18,ahazou,2017,2021,4,
19,aiprise,2022,2022,0,
21,akiflow,2019,2020,1,
22,alaan,2021,2023,2,
23,aldara,2022,2022,0,
24,alga-biosciences,2021,2022,1,
25,algouniversity,2020,2021,1,
26,algolia,2012,2014,2,
27,alguna,2023,2023,0,
28,alima,2021,2022,1,
29,alixia,2018,2022,4,
30,alloy-automation,2019,2020,1,
31,allure-systems,2017,2019,2,
32,alude,2019,2020,1,
33,amplitude,2012,2012,0,
34,ananya-health,2020,2021,1,
35,andson-biotech,2021,2022,1,
36,anima-app,2017,2018,1,
37,anja-health,2021,2022,1,
38,ankr-health,2022,2022,0,
39,anniecannons,2015,2018,3,
40,apptimize,2013,2013,0,
41,apriora,2023,2024,1,
42,apurata,2016,2019,3,
43,aquarium-learning,2020,2020,0,
45,ardis-ai,2019,2020,1,
46,argovox,2022,2022,0,
47,arini,2024,2024,0,
48,arintra,2019,2022,3,
49,arist,2018,2020,2,
50,arthena,2013,2017,4,
51,ashby,2018,2019,1,
52,astranis,2015,2016,1,
53,astroforge,2021,2022,1,
54,athelas,2016,2016,0,
55,atob,2019,2020,1,
56,atomic,2014,2020,6,
57,atomic-industries,2019,2021,2,
58,attunement,2023,2024,1,
59,aurelian,2022,2022,0,
60,automat,2016,2023,7,
62,avion,2018,2020,2,
63,avo,2014,2019,5,
64,awesomic,2020,2021,1,
65,axle,2018,2022,4,
66,axle-health,2020,2021,1,
69,bankjoy,2015,2015,0,
70,baraka,2020,2021,1,
71,baserun,2023,2023,0,
72,baubap,2018,2021,3,
73,bear-flag-robotics,2017,2018,1,
74,bellabeat,2013,2014,1,
75,belvo,2019,2020,1,
76,benchling,2012,2012,0,
77,benepass,2019,2020,1,
78,bento,2014,2020,6,
79,berilium,2022,2023,1,
80,betterbasket,2023,2024,1,
81,betterhalf,2016,2021,5,
82,bharatx,2019,2022,3,
83,billiontoone,2016,2017,1,
84,binks,2019,2019,0,
85,biobot-analytics,2017,2018,1,
87,bitmovin,2012,2015,3,
88,blue-onion-labs,2020,2020,0,
