,Company,TFA,Funding Rounds,Investors,Lead Investors
1,1910-genetics,26.7M,4,10,3
2,222,3.6M,2,16,2
3,54gene,94.7M,9,24,3
6,alt-tex,2M,9,18,7
7,aon3d,13.4M,4,17,2
8,abatable,16.6M,3,6,3
9,abstra,3M,2,5,2
10,accord,2.8M,1,1,1
14,adra,1.4M,2,3,3
15,advantage-club,6.7M,6,27,5
16,adventris-pharmaceuticals,500K,1,1,1
17,adventurous-co,150K,1,1,1
19,aesculatech,120K,4,2,1
20,aether-energy,3M,2,1,1
22,afriex,11.4M,5,26,4
23,afrostream,120K,2,6,1
25,agave,1M,2,4,2
27,agendapro,7.8M,9,10,3
29,ahazou,125K,3,2,1
30,aiprise,2M,1,11,2
34,ajaib,246.3M,5,13,6
35,akiflow,1.9M,2,2,1
37,alaan,7M,2,9,3
39,aldara,3.4M,2,2,2
42,alga-biosciences,4M,3,12,2
43,algouniversity,125K,1,1,1
44,algolia,334.2M,8,40,4
45,alguna,500K,1,1,1
46,alima,2M,3,6,5
48,alixia,2.3M,2,2,1
49,alloy-automation,25M,3,18,4
51,allure-systems,3.2M,3,13,2
55,alude,3.5M,2,11,3
56,amplitude,311.5M,14,26,6
58,ananya-health,125K,1,1,1
62,andson-biotech,4.1M,3,2,1
64,anima-app,12.6M,3,8,3
65,anja-health,4.5M,2,11,1
66,ankr-health,500K,2,2,2
67,anniecannons,120K,1,1,1
71,apptimize,20.7M,7,36,3
72,apriora,3.3M,2,5,2
74,apurata,150K,2,2,1
75,aquarium-learning,2.7M,2,6,2
77,archform,8M,3,2,1
79,ardis-ai,150K,1,2,1
80,argovox,500K,1,1,1
81,arini,500K,1,1,1
82,arintra,190K,3,3,3
83,arist,16.1M,5,14,5
86,arthena,1.2M,4,17,2
90,ashby,70M,5,12,3
93,astranis,753.5M,9,54,6
94,astroforge,53M,4,20,3
95,athelas,150.1M,5,20,4
98,atob,312M,6,26,3
99,atomic,4.5M,1,9,1
100,atomic-industries,20.3M,4,11,2
102,attunement,500K,1,1,1
103,aurelian,500K,1,1,1
104,automat,10.9M,2,8,2
106,aviary,22.8M,5,9,2
108,avion,4.9M,2,1,1
109,avo,167.2K,4,4,1
112,awesomic,2.9M,5,26,7
114,axle,228.3M,12,23,8
115,axle-health,4.4M,3,10,3
116,axoni,109.8M,5,29,5
118,azuki,28.1M,6,2,2
124,bankjoy,14.3M,6,7,1
127,baraka,25.1M,3,12,1
129,baserun,500K,1,1,1
130,baubap,143.6M,11,13,5
133,bear-flag-robotics,11.4M,4,14,2
136,bellabeat,18.8M,7,22,3
137,belvo,56M,6,22,8
138,benchling,411.9M,9,22,8
140,benepass,34.7M,4,16,4
142,bento,24.5M,5,11,3
143,berilium,500K,1,2,1
144,betterbasket,500K,1,1,1
145,betterhalf,11M,6,27,2
147,bharatx,4.7M,3,19,5
150,billiontoone,425.9M,9,28,5
151,binks,150K,2,2,1
152,biobot-analytics,28M,8,27,5
153,bird,916M,13,44,7
154,bitmovin,87.3M,6,21,4
162,blue-onion-labs,125K,3,4,1
163,bluecargo,14M,3,18,2
164,bluedot,12.5M,5,9,4
165,bodyport,15.8M,4,9,1
166,boldvoice,6.1M,3,9,1
169,boostly,5.6M,2,9,1
170,botbuilt,12.5M,3,5,1
171,botcity,138.4K,2,2,1
173,bottomless,6.8M,4,11,2
174,boundary,41M,3,5,3
176,bountiful,1.6M,3,9,1
177,boya,700K,2,3,2
178,brainhi,120K,3,5,2
179,brainbase,12M,3,20,4
181,brave-care,42.9M,5,27,3
182,breaker,2M,5,6,3
189,bright,12.3M,4,4,1
192,buildbuddy,3.3M,2,7,1
193,buildzoom,23.7M,6,20,3
194,bujeti,2.5M,3,11,1
195,bulletin,9.2M,5,22,2
199,buypower,120K,3,3,1
201,byte-kitchen,6.1M,2,10,3
203,byterat,4.5M,2,5,1
204,c16-biosciences,33.5M,8,21,4
206,cadence,48.5M,6,34,5
208,cakework,500K,1,1,1
209,calii,32.6M,4,10,3
210,callisto,120K,1,1,1
211,cambly,60.2M,6,14,2
213,canary-technologies,97M,6,9,2
216,capway,145K,7,11,3
217,caper,13M,4,18,2
219,captivateiq,164.6M,5,16,5
220,cardda,500K,1,1,1
221,caremessage,19.4M,5,3,1
222,career-karma,51.9M,4,63,3
223,careertu,150K,1,4,1
225,cascading-ai,3.9M,1,4,1
226,casetext,64.3M,7,25,1
228,castle-2,11.6M,5,32,2
230,catena-biosciences,8.1M,4,16,1
232,centaur-labs,15.9M,5,13,5
233,centauri-ai,500K,1,1,1
235,cera,407.2M,8,14,3
